id,type_desc,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
141903,BusNo,1:20:19,48.46810073,04-11-18 8:20,14.014035,99.532692,04-11-18 9:41,14.110537,99.146338
141903,BusNo,1:50:34,93.6531173,04-11-18 15:02,14.111092,99.146617,04-11-18 16:53,14.111023,99.144535
141904,BusNo,2:06:51,89.54619106,04-11-18 7:15,14.117653,99.186285,04-11-18 9:22,14.11041,99.14629
141904,BusNo,1:52:27,90.44284793,04-11-18 15:01,14.111635,99.146978,04-11-18 16:54,14.110782,99.144543
143923,BusNo,0:44:13,47.05241685,04-11-18 10:08,14.098177,99.419835,04-11-18 10:52,14.379738,99.14016
143923,BusNo,0:59:19,44.49832843,04-11-18 13:40,14.37502,99.144488,04-11-18 14:40,14.113915,99.135723
144855,BusNo,0:51:12,56.36657991,04-11-18 16:27,14.046413,99.50898,04-11-18 17:18,14.363048,99.155387
145930,BusNo,5:24:04,340.8500068,04-11-18 9:07,12.672948,101.046226,04-11-18 14:31,14.280505,99.222606
147219,BusNo,0:52:48,46.05088863,04-11-18 10:57,14.045928,99.507658,04-11-18 11:50,14.105715,99.164245
147219,BusNo,0:36:10,31.34671271,04-11-18 13:46,14.105591,99.164168,04-11-18 14:22,14.281736,99.001136
147284,BusNo,1:58:53,83.48762181,04-11-18 11:56,13.913296,99.754431,04-11-18 13:54,14.111493,99.131248
147864,BusNo,1:25:49,56.54203738,04-11-18 10:49,14.438368,98.85075,04-11-18 12:15,14.11345,99.19492
149127,BusNo,1:18:43,43.57265079,04-11-18 10:30,14.043893,99.501978,04-11-18 11:48,14.120375,99.139586
149290,BusNo,1:58:03,100.5815213,04-11-18 7:44,13.798731,99.980203,04-11-18 9:42,14.114233,99.191193
149290,BusNo,0:22:24,1.046336213,04-11-18 10:08,14.116448,99.184846,04-11-18 10:30,14.10806,99.180715
149654,BusNo,1:03:50,73.09193792,04-11-18 10:38,14.7325,98.65322,04-11-18 11:42,14.242316,99.052483
151797,BusNo,0:16:56,14.65847188,04-11-18 12:55,14.421063,99.134468,04-11-18 13:12,14.339531,99.191675
152842,BusNo,3:10:01,113.2389683,04-11-18 7:23,13.70266,99.899906,04-11-18 10:33,14.142366,99.291796
153502,BusNo,0:24:14,10.69087779,04-11-18 11:10,14.134118,99.153466,04-11-18 11:34,14.099933,99.169956
153502,BusNo,0:34:55,32.97749827,04-11-18 10:22,14.353495,98.955066,04-11-18 10:57,14.13373,99.15297
153502,BusNo,0:40:54,23.96404536,04-11-18 11:53,14.09893,99.170978,04-11-18 12:34,14.232736,99.067778
153502,BusNo,0:25:31,5.225654163,04-11-18 13:26,14.232893,99.067731,04-11-18 13:52,14.226795,99.067275
153502,BusNo,0:25:29,9.96967144,04-11-18 14:08,14.232455,99.062898,04-11-18 14:33,14.281531,99.000773
154072,BusNo,1:07:37,35.9410525,04-11-18 12:50,14.474913,99.11252,04-11-18 13:57,14.22638,99.240123
154531,BusNo,0:47:52,45.06807905,04-11-18 14:03,13.978951,99.64061,04-11-18 14:50,14.089668,99.280401
154620,BusNo,0:12:58,14.9347704,04-11-18 12:45,14.207196,99.094948,04-11-18 12:58,14.114923,99.19012
154620,BusNo,0:43:33,35.71735206,04-11-18 9:36,14.063321,99.490153,04-11-18 10:19,14.110586,99.181265
154620,BusNo,0:11:55,13.47012555,04-11-18 12:07,14.125943,99.17115,04-11-18 12:18,14.21108,99.086613
154620,BusNo,0:13:50,18.56654078,04-11-18 13:26,14.116745,99.185588,04-11-18 13:40,14.230813,99.064018
155244,BusNo,17:37:22,0.287827376,04-11-18 15:31,14.430665,99.130056,05-11-18 9:08,14.431593,99.128125
155244,BusNo,1:32:46,68.18400555,04-11-18 12:58,14.042738,99.505853,04-11-18 14:31,14.43156,99.128101
156642,BusNo,1:09:54,19.66579909,04-11-18 10:19,14.43289,99.12974,04-11-18 11:29,14.41034,99.13016
